fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,metrics.icuHeadroomRatio,metrics.icuHeadroomDetails.currentIcuCovid,metrics.icuHeadroomDetails.currentIcuCovidMethod,metrics.icuHeadroomDetails.currentIcuNonCovid,metrics.icuHeadroomDetails.currentIcuNonCovidMethod,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,riskLevels.icuHeadroomRatio,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.typicalUsageRate,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.icuBeds.typicalUsageRate,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered
02,US,AK,,state,,iso1:us#iso2:us-ak,,731545,0.031402747057699125,other,23.101791414062017,0.2781065088757396,1.08490147771,0.13027857723000014,0.16216216216216217,6,actual,92,actual,0.7596899224806202,2,1,2,1,1,0,1,62395,299,103290,1918402,235,1853,1000,28,0.58,129,98,6,0.676923076923,651,601225,248711,163100,2021-04-01,https://covidactnow.org/us/alaska-ak,0.33998045233034196,0.22295279169429086,0,407233
01,US,AL,,state,,iso1:us#iso2:us-al,,4903185,0.05539690330641203,other,7.799594986290981,0.21128128502054536,0.851415489849,0.09999999999999998,0.27564102564102566,129,actual,1170,actual,0.793040293040293,1,1,1,1,0,0,1,512823,10554,507133,3658335,404,19167,11199,469,0.6,1638,1299,129,0.7,408,2796630,1155139,656899,2021-04-01,https://covidactnow.org/us/alabama-al,0.23558951987330684,0.1339739373488865,27,1728736
05,US,AR,,state,,iso1:us#iso2:us-ar,,3017804,0.02021721582153078,other,5.779983439235001,0.9058149058149059,0.80634244376,0.10471834847600003,0.14,56,actual,584,actual,0.6504065040650406,1,0,1,0,0,0,0,330398,5626,229909,2358743,790,13284,6203,223,0.55,984,640,56,0.61,212,1763540,788277,419462,2021-04-01,https://covidactnow.org/us/arkansas-ar,0.261208812765839,0.1389957730853296,10,1183295
04,US,AZ,,state,,iso1:us#iso2:us-az,,7278717,0.03713909879115498,other,7.77609570477874,0.13992932862190813,0.8840559129960001,0.09999999999999998,0.07101086048454469,85,actual,1030,actual,0.5006735518634935,1,1,1,1,0,0,0,840470,16967,822456,5879524,396,18286,11749,606,0.6,2227,1115,85,0.829018663456,733,4304045,2157694,1242599,2021-04-01,https://covidactnow.org/us/arizona-az,0.29643878172485616,0.17071676230852223,26,3451567
06,US,CA,,state,,iso1:us#iso2:us-ca,,39512223,0.016884140411981923,other,6.531071229708914,0.821523472099203,0.9190793606559999,0.100000000004,0.21770516717325228,573,actual,4504,actual,0.7114630044843049,1,0,1,1,1,0,1,3668897,59233,3621926,42025035,10600,99574,47983,2743,0.6,7136,5077,573,0.59,2503,23660110,12120118,6348325,2021-04-01,https://covidactnow.org/us/california-ca,0.3067435107359057,0.1606673712081449,144,18223412
08,US,CO,,state,,iso1:us#iso2:us-co,,5758736,0.04282580139336878,other,21.61436616844887,0.20888327786066793,1.0797092248,0.10000000000000009,0.22467771639042358,122,actual,745,actual,0.6731366459627329,2,1,2,1,1,0,0,464782,6175,446469,6025455,1300,13464,8153,410,0.63,1288,867,122,0.8043135192,1791,3330360,1720668,1008589,2021-04-01,https://covidactnow.org/us/colorado-co,0.2987926517207943,0.1751406905959919,3,2691248
09,US,CT,,state,,iso1:us#iso2:us-ct,,3565287,0.037867539228625895,other,35.52509036639768,0.13579968418678096,1.16202524442,0.09999999999999987,0.18773234200743494,101,actual,536,actual,0.5931098696461825,3,1,3,1,2,0,0,310064,7886,432799,7289031,860,8238,6587,547,0.68,1074,637,101,0.65,832,2426455,1262503,725544,2021-04-01,https://covidactnow.org/us/connecticut-ct,0.35410978134439103,0.20350227064469142,1,1954259
11,US,DC,,state,,iso1:us#iso2:us-dc,,705749,0.0294530499667545,other,18.582081893542483,0.4087145969498911,1.0028229582200001,0.14976190650999976,0.3442622950819672,42,actual,229,actual,0.7720797720797721,2,0,2,1,1,0,1,44513,1064,62121,1562906,268,4623,2668,175,0.76,351,271,42,0.8289855072460001,100,514945,193796,97469,2021-04-01,https://covidactnow.org/us/district_of_columbia-dc,0.2745962091338422,0.13810717408030335,3,374297
10,US,DE,,state,,iso1:us#iso2:us-de,,973764,0.048776203302494436,other,29.091824537127504,0.14896621280887545,1.05035452815,0.10000000000000009,0.20833333333333334,10,actual,145,actual,0.8031088082901554,3,1,3,1,1,0,2,94802,1559,110079,1669401,211,4052,2491,144,0.71,193,155,10,0.73,229,592965,302043,159773,2021-04-01,https://covidactnow.org/us/delaware-de,0.31018090625654676,0.16407774368327438,0,463476
12,US,FL,,state,,iso1:us#iso2:us-fl,,21477737,0.07596162837256251,other,23.997606717797396,0.10088971423819952,1.03123335551,0.10000000000000009,0.32774765894529323,665,actual,4428,actual,0.7887563884156729,2,1,2,1,1,0,1,2053857,33424,2578297,22732450,2600,76852,45163,3295,0.76,6457,5093,665,0.76,5294,13153105,6005354,3384591,2021-04-01,https://covidactnow.org/us/florida-fl,0.2796083218637047,0.15758601569616018,87,9563326
